Datetime,USGS-LESTER LEWIS/S788,NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795,NWFWMD-BRADFORD BROOK DEEP/S793,NWFWMD-BRADFORD BROOK SHALLOW,TOM BROWN TEST/S791,USGS-OLSON RD./S677,NWFWMD-HQ FLORIDAN OBS/S704,USGS-LAKE JACKSON INTERMEDIATE/S706,NWFWMD-NITRATE #1,NWFWMD-NITRATE #2/S790,NWFWMD-NITRATE #4/S782,NWFWMD-NITRATE #5/S796,NWFWMD-NITRATE #6/S797,WAKULLA CORRECTIONAL INSTITUTE #1/S779,WAKULLA CONDUIT WELL@WEST OF HWY 61,FGS - SULLIVAN SINK #1,NWFWMD GW-2F-LZ (FT BRADEN)/S802,NWFWMD GW-3F-LZ (ANF FR-305),NWFWMD GW-4F-UZ (HWY27 DOT),NWFWMD GW-5F (LEON CTY VFD)/S814,NWFWMD GW-6F (MICC GREENWAY)/S816,NWFWMD GW-7F (LEON CR-59)/S818,NWFWMD GW-5S (LEON CTY VFD),NWFWMD GW-7S (LEON CR-59),NWFWMD GW-4F-LZ (HWY27 DOT)/S812,NWFWMD GW-12F (RIVERSPRINGS MS)/S820,NWFWMD GW-2S (FT BRADEN)/S805,NWFWMD GW-6S (MICC GREENWAY),NWFWMD GW-2F-UZ (FT BRADEN)/S826,NWFWMD GW-3F-UZ (ANF FR-305)
2014-08-14,7.81812499999999,13.27387096774193,21.84843749999997,36.330000000000005,26.351770833333315,34.92000000000001,54.15901921041668,86.58499999999998,4.2752375,4.306250000000001,5.877430555555562,20.064999999999998,20.186296296296298,0.0,5.714583333333334,5.47375,,,,,,,,,,,,,,
2014-08-15,7.709479166666665,13.266458333333324,21.794270833333314,36.27062500000003,26.28833333333334,34.9025,54.13793695791666,86.47708333333334,4.253979166666666,4.331041666666667,5.886041666666667,20.0558333333333,20.17562500000002,0.0,5.717083333333334,5.489375000000003,,,,,,,,,,,,,,
2014-08-16,7.5335416666666655,13.240416666666675,21.729895833333348,36.19479166666667,26.208854166666693,33.839999999999996,54.076854708750005,86.40375000000002,4.271795833333333,4.346770833333333,5.880763888888895,20.02947916666665,20.149270833333375,0.0,5.71479166666667,5.486354166666662,,,,,,,,,,,,,,
2014-08-17,7.496145833333329,13.204270833333359,21.66531250000003,36.127395833333345,26.143229166666654,34.40708333333334,54.02660578958333,86.35125,4.279091666666665,4.355729166666667,5.859583333333344,19.999583333333334,20.120416666666625,0.00031249999999999995,5.694375000000002,5.46041666666667,,,,,,,,,,,,,,
2014-08-18,7.808437499999993,13.18072916666666,21.627499999999984,36.09541666666666,26.13218749999997,34.24666666666666,54.05177353916667,86.42583333333339,4.287741666666666,4.366979166666666,5.850902777777787,19.991250000000008,20.113229166666628,1.7361104166666668e-05,5.6797916666666675,5.445833333333334,,,,,,,,,,,,,,
2014-08-19,7.8732291666666745,13.160833333333342,21.580833333333313,36.0597916666667,26.069479166666664,33.745,54.036107954583336,86.3483333333333,4.303995833333334,4.378541666666669,5.846597222222222,19.983854166666678,20.106145833333297,0.00047743055208333336,5.684583333333332,5.4345833333333315,,,,,,,,,,,,,,
2014-08-20,7.868437499999999,13.135937500000006,21.523958333333326,36.08364583333333,26.03635416666668,34.26625000000001,53.97460903666666,86.29041666666664,4.296812499999999,4.366041666666668,5.831388888888887,19.973854166666687,20.093958333333305,8.680552083333334e-06,5.682500000000002,5.415937500000002,,,,,,,,,,,,,,
2014-08-21,7.705833333333327,13.116770833333327,21.456875000000025,36.02843750000003,25.98354166666671,34.956250000000004,53.88936011916667,86.2091666666667,4.249316666666667,4.3259375,5.812222222222228,19.948750000000032,20.071354166666644,0.0008246527708333334,5.654166666666665,5.398020833333333,,,,,,,,,,,,,,
2014-08-22,7.716562500000002,13.103333333333326,21.421041666666707,35.97437499999997,26.00416666666668,34.37083333333334,53.87036120083332,86.15791666666671,4.255258333333335,4.32916666666667,5.805000000000008,19.935416666666704,20.057291666666647,0.0,5.647499999999995,5.3897916666666665,,,,,,,,,,,,,,
2014-08-23,7.549166666666667,13.080208333333333,21.39260416666666,35.93541666666667,26.01916666666669,33.39583333333333,53.89261228416667,86.16208333333337,4.273491666666666,4.344999999999999,5.805902777777783,19.923125000000034,20.04302083333331,0.0,5.655520833333334,5.383125000000001,,,,,,,,,,,,,,
